RULE	MIN cl	MAX cl
0	1	1
1	2	2
2	1	1
3	2	2
4	1	1
5	1	2
6	1	1
7	1	2
8	1	1
9	2	6
10	1	1
11	2	2
12	1	1
13	1	2
14	1	1
15	1	2
16	1	1
17	2	2
18	1	4
19	2	2
20	1	4
21	1	2
22	1	12
23	1	2
24	1	1
25	2	8
26	1	4
27	2	6
28	1	4
29	1	2
30	1	10
31	1	2
32	1	1
33	2	2
34	1	1
35	2	2
36	1	1
37	1	2
38	1	1
39	2	2
40	1	1
41	2	6
42	1	1
43	2	2
44	1	1
45	1	2
46	1	1
47	2	2
48	1	2
49	2	2
50	1	2
51	2	2
52	1	8
53	2	2
54	1	4
55	2	2
56	1	2
57	2	8
58	1	2
59	2	2
60	1	4
61	2	6
62	1	10
63	2	2
64	1	1
65	1	6
66	1	1
67	1	5
68	1	1
69	1	1
70	1	4
71	1	2
72	1	1
73	1	6
74	1	1
75	1	5
76	1	1
77	1	1
78	1	2
79	1	2
80	1	1
81	3	3
82	1	4
83	3	6
84	1	1
85	1	1
86	1	2
87	1	2
88	1	4
89	1	3
90	1	4
91	1	4
92	1	1
93	1	1
94	1	1
95	1	2
96	1	1
97	2	6
98	1	1
99	2	8
100	1	2
101	1	3
102	1	4
103	2	4
104	1	2
105	2	4
106	1	2
107	2	4
108	1	2
109	1	3
110	1	3
111	2	3
112	1	2
113	2	2
114	1	3
115	2	3
116	1	2
117	3	3
118	1	4
119	2	2
120	1	4
121	2	6
122	1	4
123	2	4
124	1	2
125	1	3
126	1	3
127	2	2
128	1	1
129	2	6
130	1	1
131	2	3
132	1	1
133	1	2
134	1	1
135	1	2
136	1	1
137	2	6
138	1	1
139	3	3
140	1	1
141	1	1
142	1	1
143	1	1
144	1	1
145	2	6
146	1	4
147	2	6
148	1	4
149	1	6
150	1	8
151	1	6
152	1	6
153	2	8
154	1	6
155	2	4
156	1	4
157	1	2
158	1	8
159	1	2
160	1	1
161	2	6
162	1	1
163	2	3
164	1	1
165	1	4
166	1	1
167	4	4
168	1	1
169	2	6
170	1	1
171	3	12
172	1	1
173	1	4
174	1	1
175	4	4
176	1	2
177	2	6
178	1	2
179	2	2
180	1	8
181	2	3
182	1	4
183	2	3
184	1	2
185	2	8
186	1	2
187	2	2
188	1	6
189	2	6
190	1	6
191	2	6
192	1	1
193	1	6
194	1	1
195	1	4
196	1	1
197	1	1
198	1	4
199	1	4
200	1	1
201	1	2
202	1	1
203	1	2
204	1	1
205	1	1
206	1	1
207	1	1
208	1	1
209	1	3
210	1	4
211	1	1
212	1	1
213	1	1
214	1	2
215	1	1
216	1	1
217	1	2
218	1	4
219	1	1
220	1	1
221	1	1
222	1	1
223	1	1
224	1	1
225	1	10
226	1	1
227	1	8
228	1	2
229	1	2
230	1	6
231	1	2
232	1	1
233	1	2
234	1	1
235	1	2
236	1	1
237	1	1
238	1	1
239	1	1
240	1	2
241	1	2
242	1	2
243	1	2
244	1	1
245	1	1
246	1	1
247	1	1
248	1	2
249	1	2
250	1	2
251	1	2
252	1	1
253	1	1
254	1	1
255	1	1
